,location,cases,date
28,City of Baldwin Park,0.0,2020-03-28 09:56:35.322294
29,City of Bell,5.0,2020-03-28 09:56:35.322294
30,City of Bell Gardens,1.0,2020-03-28 09:56:35.322294
31,City of Bellflower,12.0,2020-03-28 09:56:35.322294
32,City of Beverly Hills,21.0,2020-03-28 09:56:35.322294
33,City of Bradbury,0.0,2020-03-28 09:56:35.322294
34,City of Burbank,17.0,2020-03-28 09:56:35.322294
35,City of Calabasas,10.0,2020-03-28 09:56:35.322294
36,City of Carson,26.0,2020-03-28 09:56:35.322294
37,City of Cerritos,1.0,2020-03-28 09:56:35.322294
38,City of Claremont,1.0,2020-03-28 09:56:35.322294
39,City of Commerce,0.0,2020-03-28 09:56:35.322294
40,City of Compton,9.0,2020-03-28 09:56:35.322294
41,City of Covina,3.0,2020-03-28 09:56:35.322294
42,City of Cudahy,,2020-03-28 09:56:35.322294
43,City of Culver City,7.0,2020-03-28 09:56:35.322294
44,City of Diamond Bar,2.0,2020-03-28 09:56:35.322294
45,City of Downey,18.0,2020-03-28 09:56:35.322294
46,City of Duarte,,2020-03-28 09:56:35.322294
47,City of El Monte,0.0,2020-03-28 09:56:35.322294
48,City of El Segundo,,2020-03-28 09:56:35.322294
49,City of Gardena,6.0,2020-03-28 09:56:35.322294
50,City of Glendale,36.0,2020-03-28 09:56:35.322294
51,City of Glendora,4.0,2020-03-28 09:56:35.322294
52,City of Hawaiian Gardens,,2020-03-28 09:56:35.322294
53,City of Hawthorne,11.0,2020-03-28 09:56:35.322294
54,City of Hermosa Beach,,2020-03-28 09:56:35.322294
55,City of Hidden Hills,0.0,2020-03-28 09:56:35.322294
56,City of Huntington Park,2.0,2020-03-28 09:56:35.322294
57,City of Industry,0.0,2020-03-28 09:56:35.322294
58,City of Inglewood,14.0,2020-03-28 09:56:35.322294
59,City of Irwindale,0.0,2020-03-28 09:56:35.322294
60,City of La Canada Flintridge,7.0,2020-03-28 09:56:35.322294
61,City of La Habra Heights,0.0,2020-03-28 09:56:35.322294
62,City of La Mirada,6.0,2020-03-28 09:56:35.322294
63,City of La Puente,2.0,2020-03-28 09:56:35.322294
64,City of La Verne,1.0,2020-03-28 09:56:35.322294
65,City of Lakewood,11.0,2020-03-28 09:56:35.322294
66,City of Lancaster,19.0,2020-03-28 09:56:35.322294
67,City of Lawndale,3.0,2020-03-28 09:56:35.322294
68,City of Lomita,,2020-03-28 09:56:35.322294
69,City of Long Beach,0.0,2020-03-28 09:56:35.322294
70,City of Lynwood,13.0,2020-03-28 09:56:35.322294
71,City of Malibu,,2020-03-28 09:56:35.322294
72,City of Manhattan Beach,23.0,2020-03-28 09:56:35.322294
73,City of Maywood,2.0,2020-03-28 09:56:35.322294
74,City of Monrovia,4.0,2020-03-28 09:56:35.322294
75,City of Montebello,3.0,2020-03-28 09:56:35.322294
76,City of Monterey Park,5.0,2020-03-28 09:56:35.322294
77,City of Norwalk,12.0,2020-03-28 09:56:35.322294
78,City of Palmdale,6.0,2020-03-28 09:56:35.322294
79,City of Palos Verdes Estates,14.0,2020-03-28 09:56:35.322294
80,City of Paramount,5.0,2020-03-28 09:56:35.322294
81,City of Pasadena,0.0,2020-03-28 09:56:35.322294
82,City of Pico Rivera,5.0,2020-03-28 09:56:35.322294
83,City of Pomona,4.0,2020-03-28 09:56:35.322294
84,City of Rancho Palos Verdes,8.0,2020-03-28 09:56:35.322294
85,City of Redondo Beach,24.0,2020-03-28 09:56:35.322294
86,City of Rolling Hills,0.0,2020-03-28 09:56:35.322294
87,City of Rolling Hills Estates,,2020-03-28 09:56:35.322294
88,City of Rosemead,1.0,2020-03-28 09:56:35.322294
89,City of San Dimas,2.0,2020-03-28 09:56:35.322294
90,City of San Fernando,0.0,2020-03-28 09:56:35.322294
91,City of San Gabriel,6.0,2020-03-28 09:56:35.322294
92,City of San Marino,,2020-03-28 09:56:35.322294
93,City of Santa Clarita,32.0,2020-03-28 09:56:35.322294
94,City of Santa Fe Springs,0.0,2020-03-28 09:56:35.322294
95,City of Santa Monica,38.0,2020-03-28 09:56:35.322294
96,City of Sierra Madre,0.0,2020-03-28 09:56:35.322294
97,City of Signal Hill,,2020-03-28 09:56:35.322294
98,City of South El Monte,0.0,2020-03-28 09:56:35.322294
99,City of South Gate,11.0,2020-03-28 09:56:35.322294
100,City of South Pasadena,3.0,2020-03-28 09:56:35.322294
101,City of Temple City,1.0,2020-03-28 09:56:35.322294
102,City of Torrance,32.0,2020-03-28 09:56:35.322294
103,City of Vernon,0.0,2020-03-28 09:56:35.322294
104,City of Walnut,2.0,2020-03-28 09:56:35.322294
105,City of West Covina,5.0,2020-03-28 09:56:35.322294
106,City of West Hollywood,50.0,2020-03-28 09:56:35.322294
107,City of Westlake Village,0.0,2020-03-28 09:56:35.322294
108,City of Whittier,6.0,2020-03-28 09:56:35.322294
109,City of Los Angeles,839.0,2020-03-28 09:56:35.322294
110,Los Angeles - Adams-Normandie,,2020-03-28 09:56:35.322294
111,Los Angeles - Alsace,,2020-03-28 09:56:35.322294
112,Los Angeles - Angeles National Forest,0.0,2020-03-28 09:56:35.322294
113,Los Angeles - Angelino Heights,0.0,2020-03-28 09:56:35.322294
114,Los Angeles - Arleta,4.0,2020-03-28 09:56:35.322294
115,Los Angeles - Atwater Village,,2020-03-28 09:56:35.322294
116,Los Angeles - Baldwin Hills,7.0,2020-03-28 09:56:35.322294
117,Los Angeles - Bel Air,8.0,2020-03-28 09:56:35.322294
118,Los Angeles - Beverly Crest,17.0,2020-03-28 09:56:35.322294
