,location,cases,date
0,Laboratory Confirmed Cases (LCC),2136.0,2020-03-29 19:25:50.812062
1,- Los Angeles County (excl. LB and Pas),2038.0,2020-03-29 19:25:50.812062
2,- Long Beach,88.0,2020-03-29 19:25:50.812062
3,- Pasadena,10.0,2020-03-29 19:25:50.812062
5,Deaths,37.0,2020-03-29 19:25:50.812062
6,- Los Angeles County (excl. LB and Pas),36.0,2020-03-29 19:25:50.812062
7,- Long Beach,1.0,2020-03-29 19:25:50.812062
8,- Pasadena,0.0,2020-03-29 19:25:50.812062
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,2020-03-29 19:25:50.812062
12,0 to 17,34.0,2020-03-29 19:25:50.812062
13,18 to 40,812.0,2020-03-29 19:25:50.812062
14,41 to 65,797.0,2020-03-29 19:25:50.812062
15,Over 65,395.0,2020-03-29 19:25:50.812062
17,Hospitalization,,2020-03-29 19:25:50.812062
18,Hospitalized (Ever),453.0,2020-03-29 19:25:50.812062
21,CITY/COMMUNITY,,2020-03-29 19:25:50.812062
22,City of Agoura Hills,9.0,2020-03-29 19:25:50.812062
23,City of Alhambra,10.0,2020-03-29 19:25:50.812062
24,City of Arcadia,9.0,2020-03-29 19:25:50.812062
25,City of Artesia,,2020-03-29 19:25:50.812062
