,Locations,Total Cases
0,Laboratory Confirmed Cases (LCC),2474
1,- Los Angeles County (excl. LB and Pas),2365*
2,- Long Beach,99
3,- Pasadena,10
4,,
5,Deaths,44
6,- Los Angeles County (excl. LB and Pas),43
7,- Long Beach,1
8,- Pasadena,0
9,,
10,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),
12,0 to 17,37
13,18 to 40,918
14,41 to 65,943
15,Over 65,467
16,,
17,Hospitalization,
18,Hospitalized (Ever),492
19,,
20,,
21,CITY/COMMUNITY**,
22,City of Agoura Hills***,9
23,City of Alhambra,11
24,City of Arcadia,9
25,City of Artesia,--
26,City of Avalon,0
27,City of Azuza,3
28,City of Baldwin Park,0
29,City of Bell,11
30,City of Bell Gardens,2
31,City of Bellflower,17
32,City of Beverly Hills,28
33,City of Bradbury,0
34,City of Burbank,21
35,City of Calabasas,11
36,City of Carson,35
37,City of Cerritos,5
38,City of Claremont,1
39,City of Commerce,--
40,City of Compton,13
41,City of Covina,8
42,City of Cudahy,--
43,City of Culver City,14
44,City of Diamond Bar,3
45,City of Downey,25
46,City of Duarte,--
47,City of El Monte,1
48,City of El Segundo,--
49,City of Gardena,7
50,City of Glendale,62
51,City of Glendora,6
52,City of Hawaiian Gardens,--
53,City of Hawthorne,13
54,City of Hermosa Beach,7
55,City of Hidden Hills,0
56,City of Huntington Park,4
57,City of Industry,0
58,City of Inglewood,26
59,City of Irwindale,0
60,City of La Canada Flintridge,8
61,City of La Habra Heights,0
62,City of La Mirada,7
63,City of La Puente,3
64,City of La Verne,2
65,City of Lakewood,13
66,City of Lancaster,27
67,City of Lawndale,4
68,City of Lomita,--
69,City of Long Beach,0
70,City of Lynwood,16
71,City of Malibu,--
72,City of Manhattan Beach,31
73,City of Maywood,5
74,City of Monrovia,4
75,City of Montebello,4
76,City of Monterey Park,5
77,City of Norwalk,15
78,City of Palmdale,9
79,City of Palos Verdes Estates,14
80,City of Paramount,7
81,City of Pasadena,0
82,City of Pico Rivera,6
83,City of Pomona,5
84,City of Rancho Palos Verdes,10
85,City of Redondo Beach,34
86,City of Rolling Hills,0
87,City of Rolling Hills Estates,--
88,City of Rosemead,2
89,City of San Dimas,3
90,City of San Fernando,--
91,City of San Gabriel,6
92,City of San Marino,--
93,City of Santa Clarita,41
94,City of Santa Fe Springs,0
95,City of Santa Monica,47
96,City of Sierra Madre,0
97,City of Signal Hill,--
98,City of South El Monte,0
99,City of South Gate,14
100,City of South Pasadena,5
101,City of Temple City,1
102,City of Torrance,43
103,City of Vernon,0
104,City of Walnut,3
105,City of West Covina,7
106,City of West Hollywood,53
107,City of Westlake Village,0
108,City of Whittier,8
109,City of Los Angeles,1171
110,Los Angeles - Adams-Normandie,--
111,Los Angeles - Alsace,--
112,Los Angeles - Angeles National Forest,0
113,Los Angeles - Angelino Heights,0
114,Los Angeles - Arleta,5
115,Los Angeles - Atwater Village,--
116,Los Angeles - Baldwin Hills,9
117,Los Angeles - Bel Air,9
118,Los Angeles - Beverly Crest,19
119,Los Angeles - Beverlywood,11
120,Los Angeles - Boyle Heights,11
121,Los Angeles - Brentwood,34
122,Los Angeles - Brookside,0
123,Los Angeles - Cadillac-Corning,--
124,Los Angeles - Canoga Park,4
125,Los Angeles - Carthay,15
126,Los Angeles - Central,6
127,Los Angeles - Century City,9
128,Los Angeles - Century Palms/Cove,8
129,Los Angeles - Chatsworth,10
130,Los Angeles - Cheviot Hills,5
131,Los Angeles - Chinatown,0
132,Los Angeles - Cloverdale/Cochran,--
133,Los Angeles - Country Club Park,--
134,Los Angeles - Crenshaw District,--
135,Los Angeles - Crestview,13
136,Los Angeles - Del Rey,14
137,Los Angeles - Downtown,11
138,Los Angeles - Eagle Rock,8
139,Los Angeles - East Hollywood,10
140,Los Angeles - Echo Park,5
141,Los Angeles - El Sereno,3
142,Los Angeles - Elysian Park,--
143,Los Angeles - Elysian Valley,--
144,Los Angeles - Encino,29
145,Los Angeles - Exposition,0
146,Los Angeles - Exposition Park,4
147,Los Angeles - Faircrest Heights,0
148,Los Angeles - Figueroa Park Square,0
149,Los Angeles - Florence-Firestone,7
150,Los Angeles - Glassell Park,8
151,Los Angeles - Gramercy Place,--
152,Los Angeles - Granada Hills,9
153,Los Angeles - Green Meadows,--
154,Los Angeles - Hancock Park,26
155,Los Angeles - Harbor City,4
156,Los Angeles - Harbor Gateway,6
157,Los Angeles - Harbor Pines,0
158,Los Angeles - Harvard Heights,--
159,Los Angeles - Harvard Park,3
160,Los Angeles - Highland Park,9
161,Los Angeles - Historic Filipinotown,0
162,Los Angeles - Hollywood,49
163,Los Angeles - Hollywood Hills,26
164,Los Angeles - Hyde Park,6
165,Los Angeles - Jefferson Park,0
166,Los Angeles - Koreatown,13
167,Los Angeles - Lafayette Square,--
168,Los Angeles - Lake Balboa,11
169,Los Angeles - Lakeview Terrace,--
170,Los Angeles - Leimert Park,--
171,Los Angeles - Lincoln Heights,2
172,Los Angeles - Little Armenia,0
173,Los Angeles - Little Bangladesh,5
174,Los Angeles - Little Tokyo,--
175,Los Angeles - Longwood,--
176,Los Angeles - Los Feliz,11
177,Los Angeles - Manchester Square,--
178,Los Angeles - Mandeville Canyon,--
179,Los Angeles - Mar Vista,13
180,Los Angeles - Marina Peninsula,--
181,Los Angeles - Melrose,82
182,Los Angeles - Mid-city,10
183,Los Angeles - Miracle Mile,10
184,Los Angeles - Mission Hills,6
185,Los Angeles - Mt. Washington,--
186,Los Angeles - North Hills,7
187,Los Angeles - North Hollywood,34
188,Los Angeles - Northridge,8
189,Los Angeles - Pacific Palisades,18
