,location,cases,Unnamed: 2,date
23,City of Artesia,,--,2020-03-31 15:02:43.233651
24,City of Avalon,0.0,0,2020-03-31 15:02:43.233651
25,City of Azusa,5.0,10.11,2020-03-31 15:02:43.233651
26,City of Baldwin Park,2.0,2.69,2020-03-31 15:02:43.233651
27,City of Bell,12.0,32.79,2020-03-31 15:02:43.233651
28,City of Bell Gardens,4.0,9.34,2020-03-31 15:02:43.233651
29,City of Bellflower,20.0,26.3,2020-03-31 15:02:43.233651
30,City of Beverly Hills,35.0,101,2020-03-31 15:02:43.233651
31,City of Bradbury,0.0,0,2020-03-31 15:02:43.233651
32,City of Burbank,27.0,25.79,2020-03-31 15:02:43.233651
33,City of Calabasas,13.0,53.76,2020-03-31 15:02:43.233651
34,City of Carson,39.0,41.61,2020-03-31 15:02:43.233651
35,City of Cerritos,6.0,12.18,2020-03-31 15:02:43.233651
36,City of Claremont,2.0,5.54,2020-03-31 15:02:43.233651
37,City of Commerce,,--,2020-03-31 15:02:43.233651
38,City of Compton,16.0,15.85,2020-03-31 15:02:43.233651
39,City of Covina,7.0,14.25,2020-03-31 15:02:43.233651
40,City of Cudahy,,--,2020-03-31 15:02:43.233651
41,City of Culver City,15.0,37.17,2020-03-31 15:02:43.233651
42,City of Diamond Bar,3.0,5.25,2020-03-31 15:02:43.233651
43,City of Downey,31.0,27.24,2020-03-31 15:02:43.233651
44,City of Duarte,,--,2020-03-31 15:02:43.233651
45,City of El Monte,4.0,3.52,2020-03-31 15:02:43.233651
46,City of El Segundo,,--,2020-03-31 15:02:43.233651
47,City of Gardena,12.0,19.78,2020-03-31 15:02:43.233651
48,City of Glendale,76.0,37.7,2020-03-31 15:02:43.233651
49,City of Glendora,7.0,13.4,2020-03-31 15:02:43.233651
50,City of Hawaiian Gardens,,--,2020-03-31 15:02:43.233651
51,City of Hawthorne,19.0,21.65,2020-03-31 15:02:43.233651
52,City of Hermosa Beach,9.0,45.66,2020-03-31 15:02:43.233651
53,City of Hidden Hills,0.0,0,2020-03-31 15:02:43.233651
54,City of Huntington Park,11.0,18.48,2020-03-31 15:02:43.233651
55,City of Industry,0.0,0,2020-03-31 15:02:43.233651
56,City of Inglewood,31.0,26.64,2020-03-31 15:02:43.233651
57,City of Irwindale,0.0,0,2020-03-31 15:02:43.233651
58,City of La Canada Flintridge,8.0,39.04,2020-03-31 15:02:43.233651
59,City of La Habra Heights,0.0,0,2020-03-31 15:02:43.233651
60,City of La Mirada,8.0,16.17,2020-03-31 15:02:43.233651
61,City of La Puente,3.0,7.43,2020-03-31 15:02:43.233651
62,City of La Verne,2.0,6.04,2020-03-31 15:02:43.233651
