,Locations,Total Cases,Unnamed: 2
0,Laboratory Confirmed Cases (LCC),3011,
1,- Los Angeles County (excl. LB and Pas),2871*,
2,- Long Beach,115,
3,- Pasadena,25,
4,,,
5,Deaths,54,
6,- Los Angeles County (excl. LB and Pas),53,
7,- Long Beach,1,
8,- Pasadena,0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,27,
13,18 to 40,1101,
14,41 to 65,1172,
15,Over 65,553,
16,Unknown,18,
17,Hospitalization,,
18,Hospitalized (Ever),594,
19,CITY/COMMUNITY**,,Rate***
20,City of Agoura Hills***,11,51.97
21,City of Alhambra,13,14.99
22,City of Arcadia,10,17.55
23,City of Artesia,--,--
24,City of Avalon,0,0
25,City of Azusa,5,10.11
26,City of Baldwin Park,2,2.69
27,City of Bell,12,32.79
28,City of Bell Gardens,4,9.34
29,City of Bellflower,20,26.3
30,City of Beverly Hills,35,101
31,City of Bradbury,0,0
32,City of Burbank,27,25.79
33,City of Calabasas,13,53.76
34,City of Carson,39,41.61
35,City of Cerritos,6,12.18
36,City of Claremont,2,5.54
37,City of Commerce,--,--
38,City of Compton,16,15.85
39,City of Covina,7,14.25
40,City of Cudahy,--,--
41,City of Culver City,15,37.17
42,City of Diamond Bar,3,5.25
43,City of Downey,31,27.24
44,City of Duarte,--,--
45,City of El Monte,4,3.52
46,City of El Segundo,--,--
47,City of Gardena,12,19.78
48,City of Glendale,76,37.7
49,City of Glendora,7,13.4
50,City of Hawaiian Gardens,--,--
51,City of Hawthorne,19,21.65
52,City of Hermosa Beach,9,45.66
53,City of Hidden Hills,0,0
54,City of Huntington Park,11,18.48
55,City of Industry,0,0
56,City of Inglewood,31,26.64
57,City of Irwindale,0,0
58,City of La Canada Flintridge,8,39.04
59,City of La Habra Heights,0,0
60,City of La Mirada,8,16.17
61,City of La Puente,3,7.43
62,City of La Verne,2,6.04
63,City of Lakewood,16,20.46
64,City of Lancaster,31,19.79
65,City of Lawndale,6,17.97
66,City of Lomita,--,--
67,City of Long Beach,0,0
68,City of Lynwood,18,24.93
69,City of Malibu,--,--
70,City of Manhattan Beach,40,113.73
71,City of Maywood,6,21.33
72,City of Monrovia,5,13.34
73,City of Montebello,5,7.85
74,City of Monterey Park,7,11.45
75,City of Norwalk,21,20.03
76,City of Palmdale,14,8.77
77,City of Palos Verdes Estates,14,102.44
78,City of Paramount,8,14.23
79,City of Pasadena,0,0
80,City of Pico Rivera,9,14.05
81,City of Pomona,10,6.44
82,City of Rancho Palos Verdes,13,30.3
83,City of Redondo Beach,39,56.26
84,City of Rolling Hills,0,0
85,City of Rolling Hills Estates,--,--
86,City of Rosemead,2,3.63
87,City of San Dimas,4,11.76
88,City of San Fernando,--,--
89,City of San Gabriel,6,14.88
90,City of San Marino,--,--
91,City of Santa Clarita,48,21.88
92,City of Santa Fe Springs,--,--
93,City of Santa Monica,49,52.46
94,City of Sierra Madre,--,--
95,City of Signal Hill,--,--
96,City of South El Monte,0,0
97,City of South Gate,19,19.05
98,City of South Pasadena,6,23.13
99,City of Temple City,1,2.74
100,City of Torrance,53,36.13
101,City of Vernon,0,0
102,City of Walnut,3,9.98
103,City of West Covina,7,6.5
104,City of West Hollywood,56,156.43
105,City of Westlake Village,--,--
106,City of Whittier,12,13.62
107,Los Angeles,1386,34.35
108,Los Angeles - Adams-Normandie,5,58.91
109,Los Angeles - Alsace,--,--
110,Los Angeles - Angeles National Forest,0,0
111,Los Angeles - Angelino Heights,0,0
112,Los Angeles - Arleta,7,19.94
113,Los Angeles - Atwater Village,--,--
114,Los Angeles - Baldwin Hills,11,36.67
115,Los Angeles - Bel Air,11,133.85
116,Los Angeles - Beverly Crest,20,161.36
117,Los Angeles - Beverlywood,13,97.59
118,Los Angeles - Boyle Heights,11,12.61
119,Los Angeles - Brentwood,36,115.14
120,Los Angeles - Brookside,0,0
121,Los Angeles - Cadillac-Corning,--,--
122,Los Angeles - Canoga Park,7,10.99
123,Los Angeles - Carthay,16,119.24
124,Los Angeles - Central,11,28.13
125,Los Angeles - Century City,13,107.33
126,Los Angeles - Century Palms/Cove,10,29.53
127,Los Angeles - Chatsworth,14,38.85
128,Los Angeles - Cheviot Hills,6,64.77
129,Los Angeles - Chinatown,--,--
130,Los Angeles - Cloverdale/Cochran,--,--
131,Los Angeles - Country Club Park,5,32.46
132,Los Angeles - Crenshaw District,--,--
133,Los Angeles - Crestview,13,113.58
134,Los Angeles - Del Rey,16,54.69
135,Los Angeles - Downtown,14,57.73
136,Los Angeles - Eagle Rock,10,25.53
137,Los Angeles - East Hollywood,13,43.64
138,Los Angeles - Echo Park,5,34.85
139,Los Angeles - El Sereno,3,7.19
140,Los Angeles - Elysian Park,--,--
141,Los Angeles - Elysian Valley,--,--
142,Los Angeles - Encino,30,70.53
143,Los Angeles - Exposition,0,0
144,Los Angeles - Exposition Park,7,15.49
145,Los Angeles - Faircrest Heights,0,0
146,Los Angeles - Figueroa Park Square,0,0
147,Los Angeles - Florence-Firestone,12,24.56
148,Los Angeles - Glassell Park,11,35.05
149,Los Angeles - Gramercy Place,--,--
150,Los Angeles - Granada Hills,10,17.25
151,Los Angeles - Green Meadows,7,32.21
152,Los Angeles - Hancock Park,30,182.65
153,Los Angeles - Harbor City,5,17.27
154,Los Angeles - Harbor Gateway,9,20.6
155,Los Angeles - Harbor Pines,0,0
156,Los Angeles - Harvard Heights,--,--
157,Los Angeles - Harvard Park,4,10.09
158,Los Angeles - Highland Park,9,18.68
159,Los Angeles - Historic Filipinotown,0,0
160,Los Angeles - Hollywood,61,93.93
161,Los Angeles - Hollywood Hills,29,100.43
162,Los Angeles - Hyde Park,7,23.82
163,Los Angeles - Jefferson Park,0,0
164,Los Angeles - Koreatown,14,26.61
165,Los Angeles - Lafayette Square,--,--
166,Los Angeles - Lake Balboa,11,26.4
167,Los Angeles - Lakeview Terrace,5,37.42
168,Los Angeles - Leimert Park,--,--
169,Los Angeles - Lincoln Heights,4,12.1
170,Los Angeles - Little Armenia,--,--
171,Los Angeles - Little Bangladesh,5,17.2
172,Los Angeles - Little Tokyo,--,--
173,Los Angeles - Longwood,--,--
174,Los Angeles - Los Feliz,13,60.92
175,Los Angeles - Manchester Square,--,--
176,Los Angeles - Mandeville Canyon,--,--
177,Los Angeles - Mar Vista,13,31.03
178,Los Angeles - Marina Peninsula,--,--
179,Los Angeles - Melrose,100,128.81
180,Los Angeles - Mid-city,11,73.03
181,Los Angeles - Miracle Mile,12,67.92
182,Los Angeles - Mission Hills,6,25.03
183,Los Angeles - Mt. Washington,--,--
184,Los Angeles - North Hills,9,14.77
185,Los Angeles - North Hollywood,39,25.77
186,Los Angeles - Northridge,9,13.28
187,Los Angeles - Pacific Palisades,22,106.26
188,Los Angeles - Pacoima,5,6.25
189,Los Angeles - Palisades Highlands,--,--
190,Los Angeles - Palms,25,55.36
191,Los Angeles - Panorama City,7,9.21
192,Los Angeles - Park La Brea,--,--
193,Los Angeles - Pico-Union,7,16.43
194,Los Angeles - Playa Del Rey,--,--
195,Los Angeles - Playa Vista,7,70.11
196,Los Angeles - Porter Ranch,8,24.09
197,Los Angeles - Rancho Park,--,--
198,Los Angeles - Regent Square,--,--
199,Los Angeles - Reseda,20,26.4
200,Los Angeles - Reseda Ranch,--,--
201,Los Angeles - Reynier Village,--,--
202,Los Angeles - San Pedro,14,17.99
203,Los Angeles - Shadow Hills,--,--
204,Los Angeles - Sherman Oaks,33,38.84
205,Los Angeles - Silverlake,20,46.31
206,Los Angeles - South Carthay,8,75.5
207,Los Angeles - South Park,5,12.79
208,Los Angeles - St Elmo Village,0,0
209,Los Angeles - Studio City,18,84.1
210,Los Angeles - Sun Valley,8,14.49
211,Los Angeles - Sunland,5,24.38
212,Los Angeles - Sycamore Square,0,0
213,Los Angeles - Sylmar,25,30.21
214,Los Angeles - Tarzana,26,86.02
215,Los Angeles - Temple-Beaudry,10,25.65
216,Los Angeles - Thai Town,--,--
217,Los Angeles - Toluca Lake,--,--
218,Los Angeles - Toluca Terrace,0,0
219,Los Angeles - Toluca Woods,0,0
