,location,cases,Unnamed: 2,date
0,Laboratory Confirmed Cases (LCC),4045.0,,2020-04-02 16:39:05.319933
1,- Los Angeles County (excl. LB and Pas),3869.0,,2020-04-02 16:39:05.319933
2,- Long Beach,139.0,,2020-04-02 16:39:05.319933
3,- Pasadena,37.0,,2020-04-02 16:39:05.319933
5,Deaths,78.0,,2020-04-02 16:39:05.319933
6,- Los Angeles County (excl. LB and Pas),77.0,,2020-04-02 16:39:05.319933
7,- Long Beach,1.0,,2020-04-02 16:39:05.319933
8,- Pasadena,0.0,,2020-04-02 16:39:05.319933
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-04-02 16:39:05.319933
12,0 to 17,36.0,,2020-04-02 16:39:05.319933
13,18 to 40,1385.0,,2020-04-02 16:39:05.319933
14,41 to 65,1630.0,,2020-04-02 16:39:05.319933
15,Over 65,787.0,,2020-04-02 16:39:05.319933
16,Unknown,31.0,,2020-04-02 16:39:05.319933
17,Hospitalization,,,2020-04-02 16:39:05.319933
18,Hospitalized (Ever),879.0,,2020-04-02 16:39:05.319933
19,CITY/COMMUNITY,,Rate***,2020-04-02 16:39:05.319933
20,City of Agoura Hills,14.0,66.14,2020-04-02 16:39:05.319933
