,location,cases,Rate**,date
52,City of Bell Gardens,90.0,208.96,2020-04-28 14:25:46.849676
53,City of Bellflower,114.0,146.65,2020-04-28 14:25:46.849676
54,City of Beverly Hills,105.0,304.17,2020-04-28 14:25:46.849676
55,City of Bradbury,1.0,93.55,2020-04-28 14:25:46.849676
56,City of Burbank,226.0,210.86,2020-04-28 14:25:46.849676
57,City of Calabasas,35.0,143.9,2020-04-28 14:25:46.849676
58,City of Carson,228.0,242.95,2020-04-28 14:25:46.849676
59,City of Cerritos,49.0,97.87,2020-04-28 14:25:46.849676
60,City of Claremont,22.0,60.3,2020-04-28 14:25:46.849676
61,City of Commerce,11.0,84.17,2020-04-28 14:25:46.849676
62,City of Compton,190.0,190.18,2020-04-28 14:25:46.849676
63,City of Covina,86.0,175.4,2020-04-28 14:25:46.849676
64,City of Cudahy,63.0,258.76,2020-04-28 14:25:46.849676
65,City of Culver City,58.0,145.49,2020-04-28 14:25:46.849676
66,City of Diamond Bar,34.0,59.12,2020-04-28 14:25:46.849676
67,City of Downey,195.0,170.66,2020-04-28 14:25:46.849676
68,City of Duarte,52.0,236.19,2020-04-28 14:25:46.849676
69,City of El Monte,133.0,113.41,2020-04-28 14:25:46.849676
70,City of El Segundo,27.0,160.85,2020-04-28 14:25:46.849676
71,City of Gardena,142.0,231.61,2020-04-28 14:25:46.849676
72,City of Glendale,502.0,243.11,2020-04-28 14:25:46.849676
73,City of Glendora,42.0,79.6,2020-04-28 14:25:46.849676
74,City of Hawaiian Gardens,9.0,61.32,2020-04-28 14:25:46.849676
75,City of Hawthorne,161.0,181.33,2020-04-28 14:25:46.849676
76,City of Hermosa Beach,23.0,116.93,2020-04-28 14:25:46.849676
77,City of Hidden Hills,0.0,0.0,2020-04-28 14:25:46.849676
78,City of Huntington Park,132.0,221.91,2020-04-28 14:25:46.849676
79,City of Industry,1.0,228.83,2020-04-28 14:25:46.849676
80,City of Inglewood,290.0,255.32,2020-04-28 14:25:46.849676
81,City of Irwindale,2.0,137.08,2020-04-28 14:25:46.849676
82,City of La Canada Flintridge,37.0,178.8,2020-04-28 14:25:46.849676
83,City of La Habra Heights,2.0,36.66,2020-04-28 14:25:46.849676
84,City of La Mirada,55.0,110.89,2020-04-28 14:25:46.849676
