,location,cases,Rate**,date
0,Laboratory Confirmed Cases (LCC),25662.0,,2020-05-03 16:59:38.609652
1,- Los Angeles County (excl. LB and Pas),24500.0,,2020-05-03 16:59:38.609652
2,- Long Beach,745.0,,2020-05-03 16:59:38.609652
3,- Pasadena,417.0,,2020-05-03 16:59:38.609652
5,Deaths,1229.0,,2020-05-03 16:59:38.609652
6,- Los Angeles County (excl. LB and Pas),1138.0,,2020-05-03 16:59:38.609652
7,- Long Beach,37.0,,2020-05-03 16:59:38.609652
8,- Pasadena,54.0,,2020-05-03 16:59:38.609652
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-03 16:59:38.609652
12,0 to 17,669.0,,2020-05-03 16:59:38.609652
13,18 to 40,8199.0,,2020-05-03 16:59:38.609652
14,41 to 65,10306.0,,2020-05-03 16:59:38.609652
15,Over 65,5254.0,,2020-05-03 16:59:38.609652
16,Under Investigation,72.0,,2020-05-03 16:59:38.609652
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-03 16:59:38.609652
18,Female,12112.0,,2020-05-03 16:59:38.609652
19,Male,12193.0,,2020-05-03 16:59:38.609652
20,Other,6.0,,2020-05-03 16:59:38.609652
21,Under Investigation,189.0,,2020-05-03 16:59:38.609652
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-03 16:59:38.609652
24,Asian,1573.0,,2020-05-03 16:59:38.609652
25,Black,1087.0,,2020-05-03 16:59:38.609652
26,Hispanic/Latino,7241.0,,2020-05-03 16:59:38.609652
27,White,3139.0,,2020-05-03 16:59:38.609652
28,Other,1092.0,,2020-05-03 16:59:38.609652
29,Under Investigation,10163.0,,2020-05-03 16:59:38.609652
31,Hospitalization LAC cases only (not Long Beach and Pasadena),,,2020-05-03 16:59:38.609652
32,Hospitalized (Ever),4986.0,,2020-05-03 16:59:38.609652
35,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,,2020-05-03 16:59:38.609652
36,Asian,211.0,,2020-05-03 16:59:38.609652
37,Black,141.0,,2020-05-03 16:59:38.609652
38,Hispanic/Latino,421.0,,2020-05-03 16:59:38.609652
39,White,322.0,,2020-05-03 16:59:38.609652
40,Other,12.0,,2020-05-03 16:59:38.609652
41,Under Investigation,17.0,,2020-05-03 16:59:38.609652
43,CITY/COMMUNITY,,,2020-05-03 16:59:38.609652
44,City of Agoura Hills,31.0,148.45,2020-05-03 16:59:38.609652
45,City of Alhambra,87.0,100.32,2020-05-03 16:59:38.609652
46,City of Arcadia,43.0,74.45,2020-05-03 16:59:38.609652
47,City of Artesia,14.0,83.36,2020-05-03 16:59:38.609652
48,City of Avalon,0.0,0.0,2020-05-03 16:59:38.609652
49,City of Azusa,77.0,153.88,2020-05-03 16:59:38.609652
