,location,cases,Rate,date
56,City of Bell Gardens,140.0,325.04,2020-05-12 19:13:21.155291
57,City of Bellflower,188.0,241.85,2020-05-12 19:13:21.155291
58,City of Beverly Hills,120.0,347.62,2020-05-12 19:13:21.155291
59,City of Bradbury,2.0,187.09,2020-05-12 19:13:21.155291
60,City of Burbank,314.0,292.97,2020-05-12 19:13:21.155291
61,City of Calabasas,48.0,197.34,2020-05-12 19:13:21.155291
62,City of Carson,311.0,331.39,2020-05-12 19:13:21.155291
63,City of Cerritos,74.0,147.8,2020-05-12 19:13:21.155291
64,City of Claremont,30.0,82.23,2020-05-12 19:13:21.155291
65,City of Commerce,21.0,160.69,2020-05-12 19:13:21.155291
66,City of Compton,295.0,295.28,2020-05-12 19:13:21.155291
67,City of Covina,112.0,228.42,2020-05-12 19:13:21.155291
68,City of Cudahy,99.0,406.62,2020-05-12 19:13:21.155291
69,City of Culver City,118.0,296.0,2020-05-12 19:13:21.155291
70,City of Diamond Bar,44.0,76.5,2020-05-12 19:13:21.155291
71,City of Downey,306.0,267.8,2020-05-12 19:13:21.155291
72,City of Duarte,91.0,413.34,2020-05-12 19:13:21.155291
73,City of El Monte,248.0,211.48,2020-05-12 19:13:21.155291
74,City of El Segundo,30.0,178.72,2020-05-12 19:13:21.155291
75,City of Gardena,191.0,311.53,2020-05-12 19:13:21.155291
76,City of Glendale,768.0,371.93,2020-05-12 19:13:21.155291
77,City of Glendora,76.0,144.04,2020-05-12 19:13:21.155291
78,City of Hawaiian Gardens,16.0,109.02,2020-05-12 19:13:21.155291
79,City of Hawthorne,261.0,293.96,2020-05-12 19:13:21.155291
80,City of Hermosa Beach,25.0,127.1,2020-05-12 19:13:21.155291
81,City of Hidden Hills,1.0,52.91,2020-05-12 19:13:21.155291
82,City of Huntington Park,217.0,364.8,2020-05-12 19:13:21.155291
83,City of Industry,11.0,2517.16,2020-05-12 19:13:21.155291
84,City of Inglewood,432.0,380.34,2020-05-12 19:13:21.155291
85,City of Irwindale,3.0,205.62,2020-05-12 19:13:21.155291
86,City of La Canada Flintridge,45.0,217.46,2020-05-12 19:13:21.155291
87,City of La Habra Heights,7.0,128.32,2020-05-12 19:13:21.155291
88,City of La Mirada,81.0,163.31,2020-05-12 19:13:21.155291
89,City of La Puente,58.0,142.52,2020-05-12 19:13:21.155291
90,City of La Verne,22.0,66.1,2020-05-12 19:13:21.155291
91,City of Lakewood,109.0,135.64,2020-05-12 19:13:21.155291
92,City of Lancaster,425.0,263.04,2020-05-12 19:13:21.155291
93,City of Lawndale,81.0,240.97,2020-05-12 19:13:21.155291
94,City of Lomita,42.0,202.61,2020-05-12 19:13:21.155291
95,City of Lynwood,284.0,394.19,2020-05-12 19:13:21.155291
96,City of Malibu,32.0,246.89,2020-05-12 19:13:21.155291
97,City of Manhattan Beach,71.0,197.23,2020-05-12 19:13:21.155291
98,City of Maywood,100.0,356.52,2020-05-12 19:13:21.155291
99,City of Monrovia,95.0,244.85,2020-05-12 19:13:21.155291
100,City of Montebello,219.0,340.19,2020-05-12 19:13:21.155291
101,City of Monterey Park,111.0,178.28,2020-05-12 19:13:21.155291
102,City of Norwalk,262.0,243.44,2020-05-12 19:13:21.155291
103,City of Palmdale,507.0,318.93,2020-05-12 19:13:21.155291
104,City of Palos Verdes Estates,40.0,295.81,2020-05-12 19:13:21.155291
105,City of Paramount,182.0,324.87,2020-05-12 19:13:21.155291
106,City of Pico Rivera,270.0,420.01,2020-05-12 19:13:21.155291
107,City of Pomona,270.0,173.15,2020-05-12 19:13:21.155291
108,City of Rancho Palos Verdes,75.0,175.45,2020-05-12 19:13:21.155291
109,City of Redondo Beach,120.0,174.68,2020-05-12 19:13:21.155291
110,City of Rolling Hills,2.0,103.09,2020-05-12 19:13:21.155291
111,City of Rolling Hills Estates,13.0,160.24,2020-05-12 19:13:21.155291
112,City of Rosemead,56.0,101.17,2020-05-12 19:13:21.155291
113,City of San Dimas,37.0,107.2,2020-05-12 19:13:21.155291
114,City of San Fernando,137.0,556.64,2020-05-12 19:13:21.155291
115,City of San Gabriel,57.0,139.18,2020-05-12 19:13:21.155291
116,City of San Marino,18.0,135.57,2020-05-12 19:13:21.155291
117,City of Santa Clarita,507.0,230.01,2020-05-12 19:13:21.155291
118,City of Santa Fe Springs,35.0,190.59,2020-05-12 19:13:21.155291
119,City of Santa Monica,212.0,229.32,2020-05-12 19:13:21.155291
120,City of Sierra Madre,7.0,63.7,2020-05-12 19:13:21.155291
121,City of Signal Hill,13.0,110.2,2020-05-12 19:13:21.155291
122,City of South El Monte,45.0,215.47,2020-05-12 19:13:21.155291
123,City of South Gate,321.0,327.03,2020-05-12 19:13:21.155291
124,City of South Pasadena,105.0,403.02,2020-05-12 19:13:21.155291
125,City of Temple City,88.0,241.39,2020-05-12 19:13:21.155291
126,City of Torrance,324.0,217.06,2020-05-12 19:13:21.155291
127,City of Vernon,1.0,478.47,2020-05-12 19:13:21.155291
128,City of Walnut,30.0,98.26,2020-05-12 19:13:21.155291
129,City of West Covina,181.0,167.23,2020-05-12 19:13:21.155291
130,City of West Hollywood,148.0,400.53,2020-05-12 19:13:21.155291
131,City of Westlake Village,6.0,71.77,2020-05-12 19:13:21.155291
132,City of Whittier,188.0,215.02,2020-05-12 19:13:21.155291
133,Los Angeles,16065.0,397.2,2020-05-12 19:13:21.155291
134,Los Angeles - Adams-Normandie,33.0,402.34,2020-05-12 19:13:21.155291
135,Los Angeles - Alsace,36.0,289.27,2020-05-12 19:13:21.155291
136,Los Angeles - Angeles National Forest,0.0,0.0,2020-05-12 19:13:21.155291
137,Los Angeles - Angelino Heights,11.0,439.65,2020-05-12 19:13:21.155291
138,Los Angeles - Arleta,172.0,500.44,2020-05-12 19:13:21.155291
139,Los Angeles - Atwater Village,38.0,259.1,2020-05-12 19:13:21.155291
140,Los Angeles - Baldwin Hills,97.0,311.65,2020-05-12 19:13:21.155291
141,Los Angeles - Bel Air,31.0,367.78,2020-05-12 19:13:21.155291
142,Los Angeles - Beverly Crest,35.0,279.44,2020-05-12 19:13:21.155291
143,Los Angeles - Beverlywood,34.0,258.1,2020-05-12 19:13:21.155291
144,Los Angeles - Boyle Heights,337.0,387.87,2020-05-12 19:13:21.155291
145,Los Angeles - Brentwood,70.0,226.13,2020-05-12 19:13:21.155291
146,Los Angeles - Brookside,0.0,0.0,2020-05-12 19:13:21.155291
147,Los Angeles - Cadillac-Corning,22.0,308.95,2020-05-12 19:13:21.155291
148,Los Angeles - Canoga Park,384.0,588.15,2020-05-12 19:13:21.155291
149,Los Angeles - Carthay,69.0,480.4,2020-05-12 19:13:21.155291
150,Los Angeles - Central,201.0,515.49,2020-05-12 19:13:21.155291
151,Los Angeles - Century City,32.0,250.16,2020-05-12 19:13:21.155291
152,Los Angeles - Century Palms/Cove,132.0,390.93,2020-05-12 19:13:21.155291
153,Los Angeles - Chatsworth,131.0,353.47,2020-05-12 19:13:21.155291
154,Los Angeles - Cheviot Hills,18.0,196.27,2020-05-12 19:13:21.155291
155,Los Angeles - Chinatown,10.0,124.67,2020-05-12 19:13:21.155291
156,Los Angeles - Cloverdale/Cochran,46.0,316.09,2020-05-12 19:13:21.155291
157,Los Angeles - Country Club Park,77.0,508.15,2020-05-12 19:13:21.155291
158,Los Angeles - Crenshaw District,60.0,433.87,2020-05-12 19:13:21.155291
159,Los Angeles - Crestview,76.0,668.54,2020-05-12 19:13:21.155291
160,Los Angeles - Del Rey,58.0,193.75,2020-05-12 19:13:21.155291
161,Los Angeles - Downtown,90.0,327.19,2020-05-12 19:13:21.155291
