,Locations,Total Cases,Rate
0,Laboratory Confirmed Cases (LCC),33180.0,
1,- Los Angeles County (excl. LB and Pas),31670.0,
2,- Long Beach,953.0,
3,- Pasadena,557.0,
4,,,
5,Deaths,1613.0,
6,- Los Angeles County (excl. LB and Pas),1503.0,
7,- Long Beach,45.0,
8,- Pasadena,65.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,1037.0,
13,18 to 40,10828.0,
14,41 to 65,13005.0,
15,Over 65,6694.0,
16,Under Investigation,106.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,15669.0,
19,Male,15742.0,
20,Other,7.0,
21,Under Investigation,252.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,20.0,
25,Asian,2009.0,
26,Black,1367.0,
27,Hispanic/Latino,9882.0,
28,Native Hawaiian/Pacific Islander,220.0,
29,White,3819.0,
30,Other,1389.0,
31,Under Investigation,12964.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5508.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,271.0,
40,Black,187.0,
41,Hispanic/Latino,567.0,
42,Native Hawaiian/Pacific Islander,15.0,
43,White,432.0,
44,Other,17.0,
45,Under Investigation,13.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,32.0,153.23
49,City of Alhambra,130.0,149.9
50,City of Arcadia,59.0,102.16
51,City of Artesia,15.0,89.31
52,City of Avalon,0.0,0.0
53,City of Azusa,106.0,211.83
54,City of Baldwin Park,158.0,205.81
55,City of Bell,163.0,448.64
56,City of Bell Gardens,140.0,325.04
57,City of Bellflower,188.0,241.85
58,City of Beverly Hills,120.0,347.62
59,City of Bradbury,2.0,187.09
60,City of Burbank,314.0,292.97
61,City of Calabasas,48.0,197.34
62,City of Carson,311.0,331.39
63,City of Cerritos,74.0,147.8
64,City of Claremont,30.0,82.23
65,City of Commerce,21.0,160.69
66,City of Compton,295.0,295.28
67,City of Covina,112.0,228.42
68,City of Cudahy,99.0,406.62
69,City of Culver City,118.0,296.0
70,City of Diamond Bar,44.0,76.5
71,City of Downey,306.0,267.8
72,City of Duarte,91.0,413.34
73,City of El Monte,248.0,211.48
74,City of El Segundo,30.0,178.72
75,City of Gardena,191.0,311.53
76,City of Glendale,768.0,371.93
77,City of Glendora,76.0,144.04
78,City of Hawaiian Gardens,16.0,109.02
79,City of Hawthorne,261.0,293.96
80,City of Hermosa Beach,25.0,127.1
81,City of Hidden Hills,1.0,52.91
82,City of Huntington Park,217.0,364.8
83,City of Industry,11.0,2517.16
84,City of Inglewood,432.0,380.34
85,City of Irwindale,3.0,205.62
86,City of La Canada Flintridge,45.0,217.46
87,City of La Habra Heights,7.0,128.32
88,City of La Mirada,81.0,163.31
89,City of La Puente,58.0,142.52
90,City of La Verne,22.0,66.1
91,City of Lakewood,109.0,135.64
92,City of Lancaster*,425.0,263.04
93,City of Lawndale,81.0,240.97
94,City of Lomita,42.0,202.61
95,City of Lynwood*,284.0,394.19
96,City of Malibu,32.0,246.89
97,City of Manhattan Beach,71.0,197.23
98,City of Maywood,100.0,356.52
99,City of Monrovia,95.0,244.85
100,City of Montebello,219.0,340.19
101,City of Monterey Park,111.0,178.28
102,City of Norwalk,262.0,243.44
103,City of Palmdale,507.0,318.93
104,City of Palos Verdes Estates,40.0,295.81
105,City of Paramount,182.0,324.87
106,City of Pico Rivera,270.0,420.01
107,City of Pomona,270.0,173.15
108,City of Rancho Palos Verdes,75.0,175.45
109,City of Redondo Beach,120.0,174.68
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,56.0,101.17
113,City of San Dimas,37.0,107.2
114,City of San Fernando,137.0,556.64
115,City of San Gabriel,57.0,139.18
116,City of San Marino,18.0,135.57
117,City of Santa Clarita,507.0,230.01
118,City of Santa Fe Springs,35.0,190.59
119,City of Santa Monica,212.0,229.32
120,City of Sierra Madre,7.0,63.7
121,City of Signal Hill,13.0,110.2
122,City of South El Monte,45.0,215.47
