,Locations,Total Cases,Rate
0,Laboratory Confirmed Cases (LCC),35329.0,
1,- Los Angeles County (excl. LB and Pas),33628.0,
2,- Long Beach,1094.0,
3,- Pasadena,607.0,
4,,,
5,Deaths,1709.0,
6,- Los Angeles County (excl. LB and Pas),1591.0,
7,- Long Beach,49.0,
8,- Pasadena,69.0,
9,,,
10,,,
11,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
12,0 to 17,1150.0,
13,18 to 40,11580.0,
14,41 to 65,13736.0,
15,Over 65,7043.0,
16,Under Investigation,119.0,
17,Gender (Los Angeles County Cases Only-excl LB and Pas),,
18,Female,16586.0,
19,Male,16767.0,
20,Other,9.0,
21,Under Investigation,266.0,
22,,,
23,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
24,American Indian/Alaska Native,20.0,
25,Asian,2126.0,
26,Black,1445.0,
27,Hispanic/Latino,11147.0,
28,Native Hawaiian/Pacific Islander,252.0,
29,White,4255.0,
30,Other,1452.0,
31,Under Investigation,12931.0,
32,,,
33,Hospitalization LAC cases only (not Long Beach and Pasadena),,
34,Hospitalized (Ever),5660.0,
35,,,
36,,,
37,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
38,American Indian/Alaska Native,1.0,
39,Asian,288.0,
40,Black,193.0,
41,Hispanic/Latino,603.0,
42,Native Hawaiian/Pacific Islander,16.0,
43,White,457.0,
44,Other,15.0,
45,Under Investigation,18.0,
46,,,
47,CITY/COMMUNITY**,,
48,City of Agoura Hills,33.0,158.02
49,City of Alhambra,139.0,160.28
50,City of Arcadia,63.0,109.08
51,City of Artesia,19.0,113.13
52,City of Avalon,0.0,0.0
53,City of Azusa,114.0,227.82
54,City of Baldwin Park,178.0,231.86
55,City of Bell,177.0,487.17
56,City of Bell Gardens,152.0,352.91
57,City of Bellflower,223.0,286.87
58,City of Beverly Hills,123.0,356.32
59,City of Bradbury,2.0,187.09
60,City of Burbank,329.0,306.96
61,City of Calabasas,49.0,201.46
62,City of Carson,327.0,348.44
63,City of Cerritos,82.0,163.78
64,City of Claremont,30.0,82.23
65,City of Commerce,22.0,168.34
66,City of Compton,321.0,321.31
67,City of Covina,117.0,238.62
68,City of Cudahy,112.0,460.02
69,City of Culver City,121.0,303.52
70,City of Diamond Bar,46.0,79.98
71,City of Downey,347.0,303.69
72,City of Duarte,95.0,431.5
73,City of El Monte,289.0,246.44
74,City of El Segundo,30.0,178.72
75,City of Gardena,202.0,329.47
76,City of Glendale,802.0,388.39
77,City of Glendora,82.0,155.41
78,City of Hawaiian Gardens,16.0,109.02
79,City of Hawthorne,283.0,318.74
80,City of Hermosa Beach,25.0,127.1
81,City of Hidden Hills,1.0,52.91
82,City of Huntington Park,238.0,400.11
83,City of Industry,11.0,2517.16
84,City of Inglewood,453.0,398.83
85,City of Irwindale,4.0,274.16
86,City of La Canada Flintridge,46.0,222.3
87,City of La Habra Heights,7.0,128.32
88,City of La Mirada,85.0,171.37
89,City of La Puente,64.0,157.26
90,City of La Verne,24.0,72.11
91,City of Lakewood,122.0,151.81
92,City of Lancaster*,446.0,276.04
93,City of Lawndale,82.0,243.95
94,City of Lomita,43.0,207.44
95,City of Lynwood*,303.0,420.56
96,City of Malibu,33.0,254.61
97,City of Manhattan Beach,72.0,200.01
98,City of Maywood,115.0,410.0
99,City of Monrovia,108.0,278.35
100,City of Montebello,235.0,365.05
101,City of Monterey Park,113.0,181.49
102,City of Norwalk,274.0,254.59
103,City of Palmdale,537.0,337.8
104,City of Palos Verdes Estates,40.0,295.81
105,City of Paramount,192.0,342.72
106,City of Pico Rivera,294.0,457.35
107,City of Pomona,283.0,181.49
108,City of Rancho Palos Verdes,76.0,177.79
109,City of Redondo Beach,120.0,174.68
110,City of Rolling Hills,2.0,103.09
111,City of Rolling Hills Estates,13.0,160.24
112,City of Rosemead,62.0,112.01
113,City of San Dimas,38.0,110.09
114,City of San Fernando,144.0,585.08
115,City of San Gabriel,80.0,195.34
116,City of San Marino,18.0,135.57
117,City of Santa Clarita,549.0,249.07
118,City of Santa Fe Springs,35.0,190.59
119,City of Santa Monica,224.0,242.3
120,City of Sierra Madre,8.0,72.8
121,City of Signal Hill,15.0,127.15
122,City of South El Monte,48.0,229.83
123,City of South Gate,342.0,348.43
124,City of South Pasadena,109.0,418.38
125,City of Temple City,101.0,277.05
126,City of Torrance,329.0,220.41
127,City of Vernon,1.0,478.47
128,City of Walnut,30.0,98.26
129,City of West Covina,193.0,178.32
130,City of West Hollywood,151.0,408.65
131,City of Westlake Village,6.0,71.77
132,City of Whittier,201.0,229.89
133,Los Angeles,17037.0,421.23
134,Los Angeles - Adams-Normandie,33.0,402.34
135,Los Angeles - Alsace,37.0,297.31
136,Los Angeles - Angeles National Forest,0.0,0.0
137,Los Angeles - Angelino Heights,11.0,439.65
138,Los Angeles - Arleta,182.0,529.53
139,Los Angeles - Atwater Village,39.0,265.92
140,Los Angeles - Baldwin Hills,99.0,318.07
141,Los Angeles - Bel Air,32.0,379.64
142,Los Angeles - Beverly Crest,35.0,279.44
143,Los Angeles - Beverlywood,34.0,258.1
144,Los Angeles - Boyle Heights*,360.0,414.35
145,Los Angeles - Brentwood,71.0,229.37
146,Los Angeles - Brookside,0.0,0.0
147,Los Angeles - Cadillac-Corning,25.0,351.07
148,Los Angeles - Canoga Park,406.0,621.85
149,Los Angeles - Carthay,71.0,494.33
150,Los Angeles - Central,216.0,553.96
151,Los Angeles - Century City,32.0,250.16
152,Los Angeles - Century Palms/Cove,141.0,417.58
153,Los Angeles - Chatsworth,141.0,380.45
154,Los Angeles - Cheviot Hills,19.0,207.17
155,Los Angeles - Chinatown,13.0,162.07
156,Los Angeles - Cloverdale/Cochran,46.0,316.09
157,Los Angeles - Country Club Park,80.0,527.95
158,Los Angeles - Crenshaw District,60.0,433.87
159,Los Angeles - Crestview,78.0,686.14
160,Los Angeles - Del Rey,61.0,203.77
161,Los Angeles - Downtown*,95.0,345.37
162,Los Angeles - Eagle Rock,140.0,353.63
163,Los Angeles - East Hollywood,177.0,604.36
164,Los Angeles - Echo Park,34.0,238.5
165,Los Angeles - El Sereno,127.0,303.77
166,Los Angeles - Elysian Park,12.0,210.08
167,Los Angeles - Elysian Valley,35.0,344.12
168,Los Angeles - Encino,108.0,239.09
169,Los Angeles - Exposition,6.0,180.4
170,Los Angeles - Exposition Park,191.0,425.23
171,Los Angeles - Faircrest Heights,4.0,111.11
172,Los Angeles - Figueroa Park Square,25.0,286.66
173,Los Angeles - Florence-Firestone,225.0,474.23
174,Los Angeles - Glassell Park,146.0,461.97
175,Los Angeles - Gramercy Place,46.0,427.35
176,Los Angeles - Granada Hills,198.0,340.26
177,Los Angeles - Green Meadows,103.0,478.96
178,Los Angeles - Hancock Park,72.0,422.56
179,Los Angeles - Harbor City,63.0,216.72
180,Los Angeles - Harbor Gateway,97.0,222.48
181,Los Angeles - Harbor Pines,6.0,249.07
182,Los Angeles - Harvard Heights,92.0,510.12
