,New Daily Counts,Cases,Rate
0,Cases**,962.0,
1,Deaths,47.0,
2,,,
3,Locations,,
4,Laboratory Confirmed Cases (LCC),36259.0,
5,- Los Angeles County (excl. LB and Pas),34440.0,
6,- Long Beach,1157.0,
7,- Pasadena,662.0,
8,,,
9,Deaths,1755.0,
10,- Los Angeles County (excl. LB and Pas),1632.0,
11,- Long Beach,51.0,
12,- Pasadena,69.0,
13,Age Group (Los Angeles County Cases Only-excl LB and Pas),,
14,0 to 17,1193.0,
15,18 to 40,11879.0,
16,41 to 65,14044.0,
17,Over 65,7210.0,
18,Under Investigation,114.0,
19,Gender (Los Angeles County Cases Only-excl LB and Pas),,
20,Female,16989.0,
21,Male,17173.0,
22,Other,9.0,
23,Under Investigation,269.0,
24,,,
25,Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
26,American Indian/Alaska Native,22.0,
27,Asian,2226.0,
28,Black,1543.0,
29,Hispanic/Latino,11656.0,
30,Native Hawaiian/Pacific Islander,252.0,
31,White,4311.0,
32,Other,1471.0,
33,Under Investigation,12959.0,
34,,,
35,Hospitalization LAC cases only (not Long Beach and Pasadena),,
36,Hospitalized (Ever),5727.0,
37,,,
38,,,
39,Deaths Race/Ethnicity (Los Angeles County Cases Only-excl LB and Pas),,
40,American Indian/Alaska Native,2.0,
41,Asian,292.0,
42,Black,199.0,
43,Hispanic/Latino,620.0,
44,Native Hawaiian/Pacific Islander,16.0,
45,White,469.0,
46,Other,17.0,
47,Under Investigation,17.0,
48,,,
49,CITY/COMMUNITY**,,
50,City of Agoura Hills,33.0,158.02
51,City of Alhambra,143.0,164.89
52,City of Arcadia,65.0,112.55
53,City of Artesia,19.0,113.13
54,City of Avalon,0.0,0.0
55,City of Azusa,114.0,227.82
56,City of Baldwin Park,181.0,235.77
57,City of Bell,178.0,489.93
58,City of Bell Gardens,156.0,362.19
59,City of Bellflower,230.0,295.88
60,City of Beverly Hills,125.0,362.11
61,City of Bradbury,2.0,187.09
62,City of Burbank,338.0,315.36
63,City of Calabasas,50.0,205.57
64,City of Carson,335.0,356.97
65,City of Cerritos,83.0,165.78
66,City of Claremont,30.0,82.23
67,City of Commerce,22.0,168.34
68,City of Compton,334.0,334.32
69,City of Covina,118.0,240.66
70,City of Cudahy,114.0,468.23
71,City of Culver City,123.0,308.54
72,City of Diamond Bar,47.0,81.72
73,City of Downey,362.0,316.81
74,City of Duarte,95.0,431.5
75,City of El Monte,299.0,254.97
76,City of El Segundo,31.0,184.68
77,City of Gardena,204.0,332.74
78,City of Glendale,817.0,395.66
79,City of Glendora,86.0,162.99
80,City of Hawaiian Gardens,20.0,136.28
81,City of Hawthorne,287.0,323.25
82,City of Hermosa Beach,25.0,127.1
83,City of Hidden Hills,1.0,52.91
84,City of Huntington Park,253.0,425.32
85,City of Industry,10.0,2288.33
86,City of Inglewood,459.0,404.11
87,City of Irwindale,4.0,274.16
88,City of La Canada Flintridge,47.0,227.13
89,City of La Habra Heights,8.0,146.65
90,City of La Mirada,108.0,217.75
91,City of La Puente,64.0,157.26
92,City of La Verne,24.0,72.11
93,City of Lakewood,126.0,156.79
94,City of Lancaster*,453.0,280.37
95,City of Lawndale,82.0,243.95
96,City of Lomita,45.0,217.09
97,City of Lynwood*,311.0,431.66
98,City of Malibu,33.0,254.61
99,City of Manhattan Beach,74.0,205.56
100,City of Maywood,123.0,438.52
101,City of Monrovia,114.0,293.81
102,City of Montebello,241.0,374.37
103,City of Monterey Park,117.0,187.92
104,City of Norwalk,279.0,259.24
105,City of Palmdale,543.0,341.58
106,City of Palos Verdes Estates,40.0,295.81
107,City of Paramount,195.0,348.07
108,City of Pico Rivera,298.0,463.57
109,City of Pomona,286.0,183.41
110,City of Rancho Palos Verdes,76.0,177.79
111,City of Redondo Beach,121.0,176.14
112,City of Rolling Hills,2.0,103.09
113,City of Rolling Hills Estates,13.0,160.24
114,City of Rosemead,65.0,117.43
115,City of San Dimas,38.0,110.09
116,City of San Fernando,150.0,609.46
117,City of San Gabriel,81.0,197.78
118,City of San Marino,18.0,135.57
119,City of Santa Clarita,561.0,254.51
120,City of Santa Fe Springs,36.0,196.04
121,City of Santa Monica,235.0,254.2
122,City of Sierra Madre,8.0,72.8
123,City of Signal Hill,15.0,127.15
124,City of South El Monte,51.0,244.19
125,City of South Gate,349.0,355.56
126,City of South Pasadena,109.0,418.38
127,City of Temple City,104.0,285.28
128,City of Torrance,335.0,224.43
129,City of Vernon,1.0,478.47
130,City of Walnut,32.0,104.81
131,City of West Covina,199.0,183.86
132,City of West Hollywood,153.0,414.06
133,City of Westlake Village,6.0,71.77
134,City of Whittier,205.0,234.47
135,Los Angeles,17432.0,430.99
136,Los Angeles - Adams-Normandie,34.0,414.53
137,Los Angeles - Alsace,38.0,305.34
138,Los Angeles - Angeles National Forest,0.0,0.0
139,Los Angeles - Angelino Heights,11.0,439.65
140,Los Angeles - Arleta,186.0,541.17
141,Los Angeles - Atwater Village,39.0,265.92
142,Los Angeles - Baldwin Hills,108.0,346.99
143,Los Angeles - Bel Air,33.0,391.51
144,Los Angeles - Beverly Crest,35.0,279.44
145,Los Angeles - Beverlywood,34.0,258.1
146,Los Angeles - Boyle Heights*,374.0,430.46
147,Los Angeles - Brentwood,73.0,235.83
148,Los Angeles - Brookside,0.0,0.0
149,Los Angeles - Cadillac-Corning,26.0,365.12
150,Los Angeles - Canoga Park,413.0,632.57
151,Los Angeles - Carthay,71.0,494.33
152,Los Angeles - Central,221.0,566.78
153,Los Angeles - Century City,31.0,242.34
154,Los Angeles - Century Palms/Cove,147.0,435.35
155,Los Angeles - Chatsworth,142.0,383.15
156,Los Angeles - Cheviot Hills,19.0,207.17
157,Los Angeles - Chinatown,14.0,174.54
158,Los Angeles - Cloverdale/Cochran,46.0,316.09
159,Los Angeles - Country Club Park,80.0,527.95
160,Los Angeles - Crenshaw District,61.0,441.1
161,Los Angeles - Crestview,78.0,686.14
162,Los Angeles - Del Rey,61.0,203.77
163,Los Angeles - Downtown*,95.0,345.37
164,Los Angeles - Eagle Rock,140.0,353.63
165,Los Angeles - East Hollywood,184.0,628.27
166,Los Angeles - Echo Park,36.0,252.53
167,Los Angeles - El Sereno,127.0,303.77
168,Los Angeles - Elysian Park,12.0,210.08
169,Los Angeles - Elysian Valley,37.0,363.78
170,Los Angeles - Encino,108.0,239.09
